sample1,sample2,score
what does the professor mainly discuss,"in the dolphin study, how did the researcher make the dolphin's task increasingly difficult",1.0
what does the professor mainly discuss,why does the professor mention the wood thrush,1.5
what is the advantage of observing stars from a location near the equator,why does the man go to see his professor,0.0
what does the professor imply about photography created outside of the classroom,what is the advantage of observing stars from a location near the equator,0.0
why does the professor mention an egyptian pyramid,what does the professor say about the people of the gilbert islands,1.0
what does the professor mainly discuss,what does the professor say about the people of the gilbert islands,2.5
what is the main topic of the lecture,why does the professor mention stone canoes,1.5
what does emerson say about the past,why does the professor mention stone canoes,1.0
what does the professor mainly discuss,why are painleve's films typical of the films of the 1920s and 1930s,1.0
what does the professor mainly discuss,what is the lecture mainly about,5.0
why does the professor mention an egyptian pyramid,"the professor mentions experiments on the wind speed necessary to move rocks , what is the professor's attitude toward the experiments",1.5
why does the professor mention an egyptian pyramid,what is the main purpose of the lecture,1.5
"according to the professor , what is one effect produced by standing waves in a passage grave chamber","according to the professor, what interior features of the house irwin designed were especially beneficial",1.5
"according to the professor , what is one effect produced by standing waves in a passage grave chamber",what is the lecture mainly about,1.5
why does the professor mention a bottle,how does the man probably feel at the end of the conversation,0.0
why does the professor mention a bottle,"according to the professor , what are two features of shrubs that allow them to grow well in arctic regions",0.0
why does the professor discuss frantzen's difficulties as a young painter,"according to the professor , what characteristic of passage graves has led researchers to the conclusion that they were intentionally designed for use by the living",0.0
"according to the professor , what characteristic of passage graves has led researchers to the conclusion that they were intentionally designed for use by the living",what is the difference between passive and active heating systems,0.0
what does the professor say about the political climate during the time troubadours were writing poetry,why does the student go to the campus newspaper office,0.0
what does the man imply about people who play sports in the gym,why does the student go to the campus newspaper office,1.0
what does the librarian suggest the student should do to save time,why does the student want to write for the campus newspaper,1.0
what are the two main problems solar power presents as an energy source,why does the student want to write for the campus newspaper,0.0
"during the middle ages , what was one of the first steps that artists used in making a stained glass window","the student mentions the proposed tuition increase as a possible topic for the newspaper , what does the adviser imply about the topic",0.0
what does the professor say about disinhibition,"the student mentions the proposed tuition increase as a possible topic for the newspaper , what does the adviser imply about the topic",0.0
what will the student write about in his first article for the newspaper,why does the professor mention that one of the applicants will give a talk on a topic the student is particularly interested in,1.0
what will the student write about in his first article for the newspaper,what does the professor say about the entrances to the horses in catalhoyuk,0.0
what does the professor imply might cause a decrease in the hummingbird population,why does the woman go to see her professor,1.0
why does the woman go to see her professor,what does the professor imply about mazes,0.5
what does the professor imply when he mentions his experience playing soccer in college,what does the professor mainly discuss,1.5
what does the professor imply when he mentions his experience playing soccer in college,"based on the discussion , what is the professor's attitude inward portraiture",1.5
what did the woman study in her laboratory project,what does the professor imply about the painting of the young woman surrounded by pumpkins,1.0
which human activities that influence the phosphorus cycle does the professor mention,what did the woman study in her laboratory project,1.5
"how did the researchers test the links between acorns, white footed mice, and gypsy moths in a forest",what does the professor say about the results of the brain research,1.0
what does the professor say about the results of the brain research,why was the helical rising if sirius important to the egyptians,0.0
what does the woman say about her experience seeing a performance of happy strangers when she was younger,"at the end of the conversation , why does the professor return to the topic of running on the track team",0.0
what is mentioned in the lecture as an application of the principle that form follows function,"at the end of the conversation , why does the professor return to the topic of running on the track team",1.5
why does the professor discuss clara schumann,why does the professor mention a highway,1.0
how might jarosite found on mars differ from jarosite found on earth,why does the professor mention a highway,0.0
why does the professor mention that one of the applicants will give a talk on a topic the student is particularly interested in,what is professor's opinion of lavie's work,1.0
what is the lecture mainly about,what is professor's opinion of lavie's work,1.5
what is the lecture mainly about,what point does the professor make about photography and portraiture in the twentieth century,2.5
what is the lecture mainly about,what does the professor compare to a housefly laying many eggs,1.5
"according to the professor , what are two weaknesses of the cognitive failures questionnaire","according to the professor , why does aristotle think that fame cannot provide true happiness",1.0
"according to the professor , what are two weaknesses of the cognitive failures questionnaire","the professor discusses an example of three friends who run out of gas , what point does he use the example to illustrate",1.0
what hypotheses about distraction and brain were lavie's experiments involving star fields designed to investigate,why does the professor review information about the classification of snakes that students probably learned in previous courses,0.0
what aspect of alice neel's work does the class mainly discuss,what hypotheses about distraction and brain were lavie's experiments involving star fields designed to investigate,0.0
what are two aspects of location that need to be considered when planning a pedestrian mall,what did lavie's scans of subjects'svisual cortexes reveal,0.0
what did lavie's scans of subjects'svisual cortexes reveal,"according to the professor, what did the ancient greeks believe about music",0.0
what is the lecture mainly about,"according to the professor , what contributed to the attitude of conformity in rural new england communities during the 1600s and 1700s",1.5
why might an early snowfall be a particularly dangerous time for the snowshoe hare,what is the lecture mainly about,1.5
"the woman mentions a research study of milk packaging , what was the finding of the study",why does the professor mention the pleistocene epoch,1.5
what aspect of alice neel's work does the class mainly discuss,why does the professor mention the pleistocene epoch,0.0
"researchers study sediment in order to learn about the characteristics of past geologic epochs , what does the professor say that sediment reveals about a particular epoch",what does the student find surprising about the 1922 water sharing agreement,0.0
why does the man go to see the woman,"researchers study sediment in order to learn about the characteristics of past geologic epochs , what does the professor say that sediment reveals about a particular epoch",0.0
what does the professor say about frantzen's painting of a farm scene,"according to the professor , what is the significance of the year 1800 ce",1.0
why does the professor mention the moon's mantle,"according to the professor , what is the significance of the year 1800 ce",1.0
what does the professor imply about the spread of agriculture 8000 years ago,what is the woman trying to explain when she mentions students who have lost their borrowing privileges,0.0
what does the professor imply about the spread of agriculture 8000 years ago,"according to the professor , what characteristic of birth bark made it useful to native americans",1.0
what does the professor say about future researchers,"according to the professor , which of the following are examples of meme transfer",1.5
what does the professor say about future researchers,what does the professor imply about mazes,1.0
how might jarosite found on mars differ from jarosite found on earth,what is the lecture mainly about,0.0
what is the lecture mainly about,why does the professor mention that one of the applicants will give a talk on a topic the student is particularly interested in,1.5
what are two points the professor makes about parchment,what are the speakers mainly discussing,1.5
what is the main purpose of the lecture,what are two points the professor makes about parchment,1.5
what does the professor imply when he explains the washing and scraping methods that were used to remove ink from a parchment surface,"before the use of uranium lead analysis , where did most geologists think the grand canyon sandstone came from",0.5
what does the professor imply when he explains the washing and scraping methods that were used to remove ink from a parchment surface,why does the professor mention a conversation between two servants,1.5
what type of book became known as the archimedes palimpsest,"according to advisor , how do newspaper editors evaluate an applicant for a reporting position",0.0
"according to the professor, what was plato's attitude toward music",what type of book became known as the archimedes palimpsest,0.0
what does the professor think of the idea that the inhabitants of catalhoyuk deliberately arranged their house so that they could live near their ancestors'sgraves,what does the professor imply about the various techniques used to view archimedes'stext,0.0
why does the professor ask student about their earliest memories,what does the professor imply about the various techniques used to view archimedes'stext,0.0
what does the man plan to do at the end of the month,what does the professor imply about the significance of the archimedes palimpsest,0.0
why does the professor mention dalton's soup and elkin jeans,what does the professor imply about the significance of the archimedes palimpsest,1.5
why does the professor discuss the exploration of hydrothermal vents,what did the woman study in her laboratory project,1.0
why does the professor discuss the exploration of hydrothermal vents,what is the conversation mainly about,1.5
what will the student probably need to do to get paid,what are three of the conditions of water near hydrothermal vents that made researchers think they would not find living organisms there,0.0
what are three of the conditions of water near hydrothermal vents that made researchers think they would not find living organisms there,what is the professor's opinion about the relationship between english landscape painters and loutherbourg,0.0
what does the professor imply about the researchers'sreaction to the biological community discovered on the ocean floor,what is the woman's attitude toward participating in the poetry club,1.0
what does the professor imply about the researchers'sreaction to the biological community discovered on the ocean floor,what is the lecture mainly about,1.5
what point does the professor make about julian when he mentions that julian's art school offered some classes only for women,"according to the professor , what is the role of chemosynthesis in biological communities that are found hydrothermal vents",0.0
what does the woman imply about the small print on the career fair posters and flyers,"according to the professor , what is the role of chemosynthesis in biological communities that are found hydrothermal vents",0.0
what point does the professor make when she discusses the carrying capacity of an ecosystem,why does the professor mention the bacteria that live inside a tube worm,1.0
why does the professor mention the bacteria that live inside a tube worm,"according to the counselor , why should the woman visit her professor's office",1.0
"according to the professor , why does aristotle think that fame cannot provide true happiness",what does the woman want the man to do,0.0
why does the student go to see the professor,what does the woman want the man to do,1.5
what does the professor say about the characters in norwegian folktales,what problem concerning lincoln auditorium is mentioned,0.5
why does the man think a student job in the library is available,what problem concerning lincoln auditorium is mentioned,0.5
what point does the professor make from the horse bones found in the botai settlements,what does the woman imply about having rehearsals in the evening,0.5
what does the professor imply happened as a result of the romantic movement's spreading to norway,what does the woman imply about having rehearsals in the evening,1.5
what is the woman's attitude toward the jazz ensemble,why does the professor mention the free rider'sproblem,0.0
what is the woman's attitude toward the jazz ensemble,what characteristic of notothenioids helps them survive in subfreezing temperatures,0.0
why does the student go to see the professor,how was recall tested in children without language ability,0.0
why does the student go to see the professor,what is the lecture mainly about,1.0
why does the professor congratulate the student,"according to the professor , what is the significance of the year 1800 ce",1.0
why does the professor congratulate the student,"according to the professor , what two aspects of neel's work are characteristic of expressionism",1.5
what does the woman imply about incident that occurred in her sociology class,what will the student do this weekend,0.0
what will the student do this weekend,"according to the professor , how is the chemical telomerase related to the telomere",0.0
what are two of the criteria the professor will use to evaluate students'sessays,what does the professor say about the dna in a telomere,0.0
"according to the professor , what is the purpose of heating an element in a spectroscopic flame test",what are two of the criteria the professor will use to evaluate students'sessays,0.0
what can be inferred from the fact that lechuguilla cave is no longer forming,why does the student go to the career services office,0.0
what is the main purpose of the lecture,what can be inferred from the fact that lechuguilla cave is no longer forming,1.0
what point does the professor make about the nightcap oak's habitat,what is the main purpose of the lecture,1.0
what does the woman imply about the small print on the career fair posters and flyers,what is the main purpose of the lecture,0.5
what can be inferred about two stars if their spectra have similar spectral line patterns,"according to the professor , what substance found in surface water is important for the formation of typical limestone caves",0.0
what point does the professor make when he refers to the university library,"according to the professor , what substance found in surface water is important for the formation of typical limestone caves",1.5
what does the presence of gypsum in lechuguilla cave indicate,what does the professor imply when he mentions an art historian,0.0
what does the presence of gypsum in lechuguilla cave indicate,why does the professor imply about the discovery of a relationship between the sunspot cycle and earth's geomagnetic cycle,0.0
what is the lecture mainly about,what characteristic of element 43 might explain why the scientific community doubted the findings of ida tacke's team,0.5
what is the lecture mainly about,why does the professor explain bode's law to the class,1.0
why does the man go to talk to the woman,what does the professor mention as influences on musical styles before the invention of the piano,0.0
what does the professor mention as influences on musical styles before the invention of the piano,why does the professor ask student about their earliest memories,0.0
what does the professor say about the cutting down of large trees,why does the professor describe how a piano works,0.0
why does the professor describe how a piano works,"according to the professor , what was an advantage of using clear glass instead of quartz to make reading stones",0.0
"according to the professor , why did the piano become more popular than the harpsichord",why does the student think that companies'srepresentatives would not be interested in talking to him,1.0
what point does the professor make about the twenty amino acids that occur on proteins on earth,"according to the professor , why did the piano become more popular than the harpsichord",0.0
why does the student go to see the professor,why does the professor discuss clara schumann,1.0
"according to the professor , what is one effect produced by standing waves in a passage grave chamber",why does the professor discuss clara schumann,0.0
what does the professor imply happened as a result of the romantic movement's spreading to norway,"according to the professor , why do beavers generally forage at night",0.0
why does the student ask the professor about broccoli,"according to the professor , why do beavers generally forage at night",0.0
what is the conversation mainly about,what is the lecture mainly about,4.5
why does the man need the woman's assistance,what is the lecture mainly about,1.5
what differences between aspen trees and ash trees does the professor point out,what will the students do in the summer,0.0
what differences between aspen trees and ash trees does the professor point out,how does the man probably feel at the end of the conversation,0.0
what does the professor identify as the two central issues involved in beavers'sbehavior,"according to the professor, what is the role of the grant triton snail in the coral reef ecosystem",1.5
what does the professor identify as the two central issues involved in beavers'sbehavior,why does the professor mention northern hemisphere glaciers,1.5
what does the professor say about the cutting down of large trees,"according to the professor , why did neel paint portraits",0.0
why does the professor mention ancient greek theater,what does the professor say about the cutting down of large trees,0.0
what is the lecture mainly about,what is the lecture mainly about,5.0
what is the lecture mainly about,what is the lecture mainly about,5.0
how did the software product developed during project split differ from the product developed during project unity,what are two points the professor makes about stained glass windows made during the middle ages,0.0
what are two points the professor makes about stained glass windows made during the middle ages,"according to the professor , what is the significance of charcoal marks on the walls of the chauvet cave",1.0
"during the middle ages , what was one of the first steps that artists used in making a stained glass window","the woman asks the man to consider a different job , what kind of work would the man have to do for the new job",0.0
why does the student go to see the professor,"during the middle ages , what was one of the first steps that artists used in making a stained glass window",0.0
"according to the professor , what are two ways in which stained glass windows made in the sixteen century differed from those made in earlier centuries",why does the professor mention that one of the applicants will give a talk on a topic the student is particularly interested in,0.0
"according to the professor , what are two ways in which stained glass windows made in the sixteen century differed from those made in earlier centuries",what does the woman imply about critical reaction to the play happy strangers,0.0
what type of book became known as the archimedes palimpsest,what does the professor imply contributed to the popularity of tiffany glass,0.0
which hypothesis regarding sunspots did galilee challenge,what does the professor imply contributed to the popularity of tiffany glass,0.0
why does the man visit the professor,what does the professor imply about the people in ancient kazakhstan when they started raising sheep and cattle,0.0
why does the man visit the professor,what does the professor imply about photography created outside of the classroom,1.5
what is the subject of the man's paper,why was the helical rising if sirius important to the egyptians,1.0
what is the subject of the man's paper,"according to the lecture , when do birds put on their most conspicuous distraction displays",1.0
what do the speakers say about peter brook's production of a midsummer night's dream,what is the professor's attitude about light pollution in cities,0.0
what do the speakers say about peter brook's production of a midsummer night's dream,why does the student go to see the professor,0.0
what does the professor imply when he mentions his experience playing soccer in college,what point does the professor make when she mentions that some students are writing about 19 th century productions of shakespeare's plays,1.5
what point does the professor make when she mentions that some students are writing about 19 th century productions of shakespeare's plays,what is the lecture mainly about,1.0
"according to the lecture , when do birds put on their most conspicuous distraction displays",why does the man go to see the woman,0.0
why does the man go to see the woman,why does the professor compare earth's movements to a watch,1.0
why is the student having a problem getting the book she wants,what activity does the man want to be able to do at dinnertime,0.0
what activity does the man want to be able to do at dinnertime,"once the egyptians realized the significance of the heliacal rising of sirius , what change did they make to their agricultural calendar",0.0
why does the man need the woman's assistance,"the woman asks the man to consider a different job , what kind of work would the man have to do for the new job",1.5
why does the professor quote from the journal the american architect and building news,"the woman asks the man to consider a different job , what kind of work would the man have to do for the new job",0.0
why does the professor mention the wood thrush,how does the woman summarize the professor's main point in the talk,1.5
"according to the lecture, why was heap roasting used in the producing of copper",how does the woman summarize the professor's main point in the talk,1.5
what does the man imply about his job as a waiter,why was the building given a new name,0.0
what does the man imply about his job as a waiter,why does the professor mention dalton's soup and elkin jeans,1.0
what is the talk mainly about,what point do the speakers make about the background of the dreamer,1.5
what is the purpose of the discussion,what is the talk mainly about,5.0
"according to the professor , when might stratigraphy provide misleading information about a portable object",what does the professor imply about the painting of the young woman surrounded by pumpkins,1.5
"according to the professor , when might stratigraphy provide misleading information about a portable object",what is the lecture mainly about,1.5
what are two disadvantages of radiocarbon dating,"according to the professor , which of the following are examples of meme transfer",0.0
what are two disadvantages of radiocarbon dating,"according to the professor, what was the problem with the data recorded before the 1970s",1.5
why does student go to see the professor,what is the professor's opinion about the practice of dating a piece of art by analyzing its artistic style,0.0
what does the professor say about frantzen's painting of a farm scene,what is the professor's opinion about the practice of dating a piece of art by analyzing its artistic style,1.5
why does the professor consider it important to find out if water ice exists on the moon,what is the lecture mainly about,1.0
what are the speakers mainly discussing,what is the lecture mainly about,5.0
what aspect creative writing does the professor mainly discuss,why does the professor compare earth's movements to a watch,0.0
what does the professor say about the sailors who were stationed in hawaii after the spanish american war,why does the professor compare earth's movements to a watch,0.0
"before the use of uranium lead analysis , where did most geologists think the grand canyon sandstone came from",why does the professor mention northern hemisphere glaciers,0.0
what does the professor imply about the tools used by the people of catalhoyuk,why does the professor mention northern hemisphere glaciers,1.0
what is the significance of the evidence found on the ocean floor,what is the lecture mainly about,1.0
what is the significance of the evidence found on the ocean floor,what is the main topic of the lecture,1.5
what does the professor imply might cause a decrease in the hummingbird population,what did calcite deposits from devils hole reveal,0.5
what did calcite deposits from devils hole reveal,what does the professor imply about earth's climate over the last several million years,1.5
what are two points the professor makes about the administrative calendar,"according to the professor , what were two ways that the situation of women artists had changed by then end of the nineteenth century in paris",1.0
what are two points the professor makes about the administrative calendar,why does the professor mention the area where the optic nerve connects to the back of the eye,0.0
what is the lecture mainly about,on what basis did emerson criticize the people of his time,1.0
what is the lecture mainly about,"according to the professor , in what way do colubrid snakes differ from other venomous snakes",1.5
what is the professor's opinion about the student's interest in architecture,why does the professor mention the names of the seasons in ancient egypt,1.0
what does the professor offer to do for the man,why does the professor mention the names of the seasons in ancient egypt,1.5
what does the student imply about professor leonard,why was the helical rising if sirius important to the egyptians,0.0
"the professor uses the sentence , move the large coyote fast , in order to illustrate two features of language , what are they",why was the helical rising if sirius important to the egyptians,0.0
what does the professor imply when he mentions his experience playing soccer in college,"once the egyptians realized the significance of the heliacal rising of sirius , what change did they make to their agricultural calendar",0.0
"according to the professor , what activities associated with the beginnings of agriculture may have slowed or prevented the onset of a predicted ice age","once the egyptians realized the significance of the heliacal rising of sirius , what change did they make to their agricultural calendar",1.5
why does the professor mention going away for the weekend,what is the lecture mainly about,1.5
what does the woman imply about organically grown food,what is the lecture mainly about,1.0
why does the professor first mention proteus,what does the woman imply about having rehearsals in the evening,0.0
why does the professor first mention proteus,what is the professor's main criticism of the man's paper,1.0
how does an octopus change color to match the colors in its environment,why did the student transfer to central university,0.0
how does an octopus change color to match the colors in its environment,why does the student go to the bookstore,0.0
why does the student mention a research project she studied in a biology class,what does the professor say about the function of the papillae,0.0
what does the professor say about the function of the papillae,"according to the professor , what is the significance of the year 1800 ce",1.0
what two examples does the professor mention to describe the octopus'sability to change its shape,what does the professor want the student to do next,0.0
what does the man need to do for his term paler,what two examples does the professor mention to describe the octopus'sability to change its shape,0.0
what does the professor imply about crocodiles,why does the student go to the university office,0.0
why does the student go to the university office,what is the lecture mainly about,0.0
why is the student interested in learning more about dialects,why did the student transfer to central university,0.0
why did the student transfer to central university,why does the professor mention the pleistocene epoch,0.0
why does the student mention hosting foreign exchange students,"according to the student, why was it advantageous for early humans to be sensitive to bitter tastes",0.0
what is the lecture mainly about,why does the student mention hosting foreign exchange students,0.0
what are two points the professor makes about stone meteorites,what can be inferred about students who apply for the open position at the technology support helpdesk,0.0
which hypothesis regarding sunspots did galilee challenge,what can be inferred about students who apply for the open position at the technology support helpdesk,0.0
what is the conversation mainly about,why does the professor mention rock and roll music,1.5
what is the conversation mainly about,what does the student imply about professor leonard,1.0
what does the professor imply about the man's outline,what does the professor say about the cutting down of large trees,1.5
what does the professor imply about the man's outline,"according to the professor, what is the role of the grant triton snail in the coral reef ecosystem",1.0
what is the main goal of the study that the professor's colleague is conducting,why does the professor tell the story about alligators,1.0
why does the student go to see the man,what is the main goal of the study that the professor's colleague is conducting,1.0
what are the speakers mainly discussing,what does the professor imply about the owners of fox's diner,1.5
what does the professor imply about the owners of fox's diner,what is one way the professor mention that can help with art restoration,0.0
what is the professor's attitude toward schwabe's and wolf's research,what is the lecture mainly about,1.0
what is the professor's attitude toward schwabe's and wolf's research,why did frantzen go to the sales barn,0.0
why does the professor first mention proteus,why does the professor imply about the discovery of a relationship between the sunspot cycle and earth's geomagnetic cycle,1.5
what is the conversation mainly about,why does the professor imply about the discovery of a relationship between the sunspot cycle and earth's geomagnetic cycle,1.5
what excites the professor about the field of archaeology,what is the lecture mainly about,1.0
what are the speakers mainly discussing,what is the lecture mainly about,5.0
why does the professor mention going away for the weekend,why did european astronomers before the time of galileo not believe sunspots were on the sun's surface,0.0
why does the student mention a child playing with a toy car,why did european astronomers before the time of galileo not believe sunspots were on the sun's surface,0.0
which hypothesis regarding sunspots did galilee challenge,what point does the professor make when he mentions a ship's path,0.0
which hypothesis regarding sunspots did galilee challenge,what is the lecture mainly about,0.0
what was the importance of schwabe's abservations,what factors led to the disappearance of trees in the copper basin,0.0
what was the importance of schwabe's abservations,what does the librarian say about the availability of journals and articles in the library,0.0
what is the lecture mainly about,what is a potential problem with the available job in the library,1.5
why does the professor discuss the exploration of hydrothermal vents,what is the lecture mainly about,1.5
why does the student mention a child playing with a toy car,"according to traditional art , why did the romans copy greek sculpture",0.0
"according to traditional art , why did the romans copy greek sculpture",why does the women come to the office,0.0
what is gazda's view of the roman copies of greek statues,what is the professor's opinion about the effort to reclaim the land in the copper basin,0.0
what does the professor imply about the objects held by children in some american miniature portraits,what is gazda's view of the roman copies of greek statues,1.5
"according to the professor, what happened to notothenioids that migrated to different areas of the southern ocean",why does the professor mention roman coins,1.0
what does the professor identify as the two central issues involved in beavers'sbehavior,why does the professor mention roman coins,0.5
why was the helical rising if sirius important to the egyptians,"according to the professor , why did the romans sometimes remove the emperor's head from a statue",0.0
"according to the professor , why did the piano become more popular than the harpsichord","according to the professor , why did the romans sometimes remove the emperor's head from a statue",1.0
what does the professor say about the speed of glaciers,what is the main purpose of the lecture,1.5
what does the man plan to do at the end of the month,what is the main purpose of the lecture,1.0
what two factors explain why medieval europeans did not use spices to cover the taste of spoiled meat,why does the man think a student job in the library is available,0.0
what two factors explain why medieval europeans did not use spices to cover the taste of spoiled meat,what does the professor say about the sailors who were stationed in hawaii after the spanish american war,0.0
why does the professor mention the collapse of the roman empire,"according to the professor , what was an advantage of using clear glass instead of quartz to make reading stones",1.0
why does the professor mention the collapse of the roman empire,what is the lecture mainly about,1.5
what does the professor say about european explorers during the age of discovery,what is the main purpose of the lecture,1.5
"according to the professor , why are radio wares particularly useful for astronomical observations",what does the professor say about european explorers during the age of discovery,0.0
what is the main purpose of the lecture,how is it possible to determine in which rainy period a lake was formed,0.5
"according to the professor , what is the purpose of heating an element in a spectroscopic flame test",what is the main purpose of the lecture,1.0
what does the professor imply about major weather patterns such as ei nino,why does the professor first mention the arrival of spring,1.5
why does the professor first mention the arrival of spring,what does the professor imply about storage and port facilities,0.0
what happens to a wood frog as it begins to freeze,why does the advisor discourage the student from transferring to another university,0.0
what is the woman's attitude toward the jazz ensemble,what happens to a wood frog as it begins to freeze,0.0
"based on the discussion , what information can be shown on a tree model",what are two points the professor makes about the thawing process of the wood frog,1.0
why does the student go to the university office,what are two points the professor makes about the thawing process of the wood frog,0.0
what are the speakers mainly discussing,what impact does freezing have on some thawed wood frogs,0.0
what factors are involved in the amount of deformation a glacier undergoes,what impact does freezing have on some thawed wood frogs,1.0
why does the man go to see the professor,what is the woman trying to explain when she mentions students who have lost their borrowing privileges,0.0
why does the man go to see the professor,why does the professor mention dalton's soup and elkin jeans,1.5
why does the professor mention male frogs that lower their voices,why does the professor consider it important to find out if water ice exists on the moon,1.0
why does the professor mention male frogs that lower their voices,why does the student mention a child playing with a toy car,0.0
why does the professor talk about computers,what does the professor say about the dna in a telomere,1.0
"how did the researchers test the links between acorns, white footed mice, and gypsy moths in a forest",why does the professor talk about computers,0.0
what does the professor imply about thomas jefferson's attitude toward tomatoes,what does the man need to do for his term paler,0.0
what does the man need to do for his term paler,"according to the professor, what can scientists learn by examining ancient phytoliths",0.0
which hypothesis regarding sunspots did galilee challenge,"the man expresses reservations about the suggested topic for his term paper , what is the professor's attitude toward the man's reservations",0.0
what does the professor say about disinhibition,"the man expresses reservations about the suggested topic for his term paper , what is the professor's attitude toward the man's reservations",0.5
what is the conversation mainly about,what is the professor's opinion about the future of kramer junction power plant,1.5
what two factors explain why medieval europeans did not use spices to cover the taste of spoiled meat,what is the conversation mainly about,1.0
what does the professor say about the relationship between mbwa and market research,"according to the woman , how did some students react to the change in frying oil used in the cafeteria",0.0
what is the lecture mainly about,"according to the woman , how did some students react to the change in frying oil used in the cafeteria",1.0
"in the professor's view , what might have caused aristarchus to propose the heliocentric theory",what does the woman imply about organically grown food,0.5
"according to the professor , what should the student do after completing the first observation",what does the woman imply about organically grown food,0.0
"according to the woman , what information can be found on the cafeteria's web site","according to the professor , in what way do colubrid snakes differ from other venomous snakes",1.0
"according to the woman , what information can be found on the cafeteria's web site","according to the professor , what are two ways in which stained glass windows made in the sixteen century differed from those made in earlier centuries",0.5
"according to the lecture, why was heap roasting used in the producing of copper",why does the professor mention variation within a language,0.0
why does the professor mention variation within a language,why does the man go to see the professor,1.0
what does the professor mainly discuss,"based on the discussion, what happens when a continental plate and an oceanic plate collide",1.5
what does the professor mainly discuss,what can be inferred from the fact that lechuguilla cave is no longer forming,1.0
why does student go to see the professor,what point does the professor make when she says that some languages have similar spending words,1.5
"according to the professor, what factors led to the rapid distribution of notothenioids throughout the southern ocean",what point does the professor make when she says that some languages have similar spending words,0.0
what does the man plan to do at the end of the month,what does the professor say was an important discovery in linguistics,1.0
what does the professor say was an important discovery in linguistics,what does the professor say about the people of the gilbert islands,1.0
what is man's attitude toward his new university,"based on the discussion , what information can be shown on a tree model",1.0
"according to the professor , where did tulips originate","based on the discussion , what information can be shown on a tree model",0.0
what aspect of architecture in the united states is the lecture mainly about,what is the lecture mainly about,4.5
what is the main purpose of the lecture,what is the lecture mainly about,5.0
"according to the talk , in what two ways was the federal art project successful",what is the professor's attitude about light pollution in cities,0.0
what is the lecture mainly about,what is the professor's attitude about light pollution in cities,1.5
"according to the professor , why are radio wares particularly useful for astronomical observations",what does the professor imply about the painting of the young woman surrounded by pumpkins,0.0
"according to the professor , why are radio wares particularly useful for astronomical observations","according to the professor , what causes the snowshoe hare's fur to begin turning white",1.0
"according to the professor, what objections did some researchers raise with regard to the dolphin study",what does the professor imply is an advantage of optical astronomy over radio astronomy,0.0
what does the professor imply is an advantage of optical astronomy over radio astronomy,what does the professor imply about aerospace engineering students,1.0
"according to the professor , why do radio astronomers sometimes have difficulty studying very distant objects","according to the professor , how is the chemical telomerase related to the telomere",1.0
"according to the professor , why do radio astronomers sometimes have difficulty studying very distant objects",what is the professor's attitude toward the results from medical research on snake venom proteins,0.0
what is the lecture mainly about,"according to the professor , what is the significance of charcoal marks on the walls of the chauvet cave",1.5
what is the lecture mainly about,how did the man learn about dean adams'sretirement,0.0
what is one result of reverse osmosis in the spartina,why does the professor tell the man about the appointment at the doctor's office,0.0
what is one result of reverse osmosis in the spartina,how does the man probably feel at the end of the conversation,0.0
what will matthew probably do in next wednesday's class,why does the professor mention reddish mud on the roots of a spartina,0.0
why does the professor mention reddish mud on the roots of a spartina,what is the main purpose of the lecture,1.0
why does the professor mention reddish mud on the roots of a spartina,in what way are rhizomes important for spartinas,1.5
why is the professor not going to discuss the book by jane bowles in the class,in what way are rhizomes important for spartinas,0.0
what does the professor imply when he mentions that graduate school is expensive,what can be inferred about the process that prevents spartinas from breaking in violent storms,0.0
what were two arguments ancient greeks used to reject the heliocentric model,what can be inferred about the process that prevents spartinas from breaking in violent storms,0.0
what is the purpose of the discussion,what does the woman suggest the man should do to have the best chance of selling his book to the bookstore,1.5
what is the purpose of the discussion,what fact inspired researchers to give the name technetium to element 43,0.0
what evidence does the professor cite to illustrate cecilia beaux's reputation as an artist,what does the professor believe about the claim that ida tacke's team made about element 43,1.0
what evidence does the professor cite to illustrate cecilia beaux's reputation as an artist,what are two aspects of location that need to be considered when planning a pedestrian mall,0.0
what do the speakers say about cecilia beaus use of contrasting colors in the dreamer,what is the professor's opinion about the relationship between english landscape painters and loutherbourg,0.0
what do the speakers say about cecilia beaus use of contrasting colors in the dreamer,"according to the professor , who was the intended audience for chanson poetry",0.0
what point do the speakers make about the background of the dreamer,what topic related to the nightcap oak does the professor mainly discuss,1.0
what point do the speakers make about the background of the dreamer,why does the professor mention milking a wild horse,1.0
"based on the discussion , what is the professor's attitude inward portraiture","according to the professor , what was the impact of the extensive hunting of beavers in north america",1.0
why does the professor discuss underwater volcanoes,"based on the discussion , what is the professor's attitude inward portraiture",0.0
